,Metadata,Text,Type
0,"('page_content', 'GameFi.org - MOBOX""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginMOBOXMBOXPrice:$0.32440.32%Loading... All GamesMOBOXgovernance tokenMBOX$0.32440.32%MOBOXStudio:MOBOX TeamReleased On:Nov 23, 2022Available On:sharefollowingPlay this gameNeed render on clientView MoreMetaverseCasualPlatformChain SupportedBNB ChainBacked byAnimoca Brands KK•Binance LabsBacked byAGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.97Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsGame ReportsSHARE TWITTERSHARE TELEGRAMALow riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-Ninja 1Sorry, this person is off our radar’s scope!Ninja 2Sorry, this person is off our radar’s scope!Ninja 3Sorry, this person is off our radar’s scope!HELPFUL?0 votesA LITTLE BITTOTALLYON-CHAIN PERFORMANCEThis project hasn\'t launched IDO--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply0%0%100%TOKENOMICInformation about tokenomics is often used by experienced traders. Click the button below to learn more!VIEW TOKENOMICCOMMUNITY PERFORMANCEBottom 80% market performance-Twitter-Total followers-Percentile-Telegram Group-Total Users-Percentile-Discord-Total Members-Percentile-ReviewsWhat do you think about this project?Game ReportsALow riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-Ninja 1Sorry, this person is off our radar’s scope!Ninja 2Sorry, this person is off our radar’s scope!Ninja 3Sorry, this person is off our radar’s scope!-%PoorYou can only rate this report on gamefi.orgON-CHAIN PERFORMANCEBottom 80% market performance--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply- %0%100%TOKENOMICTokenomic information is commonly used by experienced traders.YOU CAN ONLY VIEW TOKENOMIC INFORMATION ON GAMEFI.ORGCOMMUNITY PERFORMANCEBottom 80% market performance-DCommunity Size- %No Data- followers- members- membersDSocial Interactions-%No Data- interactions- interactions- interactionsDOES THE PROJECT HAVE GREAT POTENTIAL?- % people said “Yes”YOU CAN VOTE FOR THE GAME ONLY ON GAMEFI.ORGDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/mobox?tab=overview', 'title': 'GameFi.org - MOBOX', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
1,"('page_content', 'GameFi.org - MOBOX""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginMOBOXMBOXPrice:$0.32440.32%Loading... All GamesMOBOXgovernance tokenMBOX$0.32440.32%MOBOXStudio:MOBOX TeamReleased On:Nov 23, 2022Available On:sharefollowingPlay this gameNeed render on clientView MoreMetaverseCasualPlatformChain SupportedBNB ChainBacked byAnimoca Brands KK•Binance LabsBacked byAGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.97Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsIntroductionNeed render on clientBackersAnimoca Brands KKBinance LabsPLAY MODENeed render on clientROADMAPNeed render on clientPLAY-TO-EARN MODELNeed render on clientDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/mobox?tab=about', 'title': 'GameFi.org - MOBOX', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
2,"('page_content', 'GameFi.org - Wanaka Farm""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginWanaka FarmWANAPrice:$0.0050120.29%Loading... All GamesWanaka Farmgovernance tokenWANA$0.0050120.29%Wanaka FarmStudio:Wanaka Tech LtdReleased On:Oct 11, 2022Available On:sharefollowingPlay this gameNeed render on clientView MoreStrategySimulationCasualChain SupportedBNB ChainBacked byBlack Ventures•Duck DAO•Kiwi Group•Lua Ventures•Moonwhale Ventures•8+Backed by8+BGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.92Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsGame ReportsSHARE TWITTERSHARE TELEGRAMBAverage riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-Truong TranCEO/Co-founderThuan NguyenCTO/Co-founderDuc HoangHead Of Development/Co-founderHELPFUL?0 votesA LITTLE BITTOTALLYON-CHAIN PERFORMANCEThis project hasn\'t launched IDO--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply0%0%100%TOKENOMICInformation about tokenomics is often used by experienced traders. Click the button below to learn more!VIEW TOKENOMICCOMMUNITY PERFORMANCEBottom 80% market performance-Twitter-Total followers-Percentile-Telegram Group-Total Users-Percentile-Discord-Total Members-Percentile-ReviewsWhat do you think about this project?Game ReportsBAverage riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-Truong TranCEO/Co-founderThuan NguyenCTO/Co-founderDuc HoangHead Of Development/Co-founder-%PoorYou can only rate this report on gamefi.orgON-CHAIN PERFORMANCEBottom 80% market performance--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply- %0%100%TOKENOMICTokenomic information is commonly used by experienced traders.YOU CAN ONLY VIEW TOKENOMIC INFORMATION ON GAMEFI.ORGCOMMUNITY PERFORMANCEBottom 80% market performance-DCommunity Size- %No Data- followers- members- membersDSocial Interactions-%No Data- interactions- interactions- interactionsDOES THE PROJECT HAVE GREAT POTENTIAL?- % people said “Yes”YOU CAN VOTE FOR THE GAME ONLY ON GAMEFI.ORGDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/wanaka-farm?tab=overview', 'title': 'GameFi.org - Wanaka Farm', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
3,"('page_content', 'GameFi.org - Wanaka Farm""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginWanaka FarmWANAPrice:$0.0050120.29%Loading... All GamesWanaka Farmgovernance tokenWANA$0.0050120.29%Wanaka FarmStudio:Wanaka Tech LtdReleased On:Oct 11, 2022Available On:sharefollowingPlay this gameNeed render on clientView MoreStrategySimulationCasualChain SupportedBNB ChainBacked byBlack Ventures•Duck DAO•Kiwi Group•Lua Ventures•Moonwhale Ventures•8+Backed by8+BGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.92Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsIntroductionNeed render on clientTeam MembersTruong TranCEO/Co-founderThuan NguyenCTO/Co-founderDuc HoangHead Of Development/Co-founderSang NguyenCPO/Co-founderLeo NgoCM MARKETINGTung LeGame DeveloperThanh ChuGame DeveloperCong NguyenGame DeveloperLam NghiemGame DeveloperQuyen VuongGame DeveloperHieu NguyenBlockchain DeveloperTien TranBlockchain DeveloperAnh PhamLead ArtistXuan ThinhConcept ArtistADVISORSYi LiuCo-founder & CTO of Blockchain Ape.\nEarly investor in Bitcoin.\nInvolved in the development of over 20 blockchain projects.\nteam profileTeam MembersTruong TranCEO/Co-founderThuan NguyenCTO/Co-founderDuc HoangHead Of Development/Co-founderSang NguyenCPO/Co-founderLeo NgoCM MARKETINGTung LeGame DeveloperThanh ChuGame DeveloperCong NguyenGame DeveloperLam NghiemGame DeveloperQuyen VuongGame DeveloperHieu NguyenBlockchain DeveloperTien TranBlockchain DeveloperAnh PhamLead ArtistXuan ThinhConcept ArtistADVISORSYi LiuCo-founder & CTO of Blockchain Ape.\nEarly investor in Bitcoin.\nInvolved in the development of over 20 blockchain projects.\nBackersBlack VenturesDuck DAOKiwi GroupLua VenturesMoonwhale VenturesOxbullPoolz VenturesTAG VenturesTomochainTK VenturesBabylonsKyber Alumni FundBlockchain ApePLAY MODENeed render on clientROADMAPNeed render on clientHIGHLIGHT FEATURESNeed render on clientPLAY-TO-EARN MODELNeed render on clientDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/wanaka-farm?tab=about', 'title': 'GameFi.org - Wanaka Farm', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
4,"('page_content', 'GameFi.org - Faraland""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginFaralandFARAPrice:$0.033761.59%Loading... All GamesFaralandgovernance tokenFARA$0.033761.59%FaralandStudio:Moon Knight LabsReleased On:May 19, 2022Available On:sharefollowingPlay this gameNeed render on clientView MoreTurn-basedCasualNFTChain SupportedBNB ChainBacked by590 Ventures•AU 21 Capital•AVStar Capital•Basics Capital•Exnetwork Capital•14+Backed by14+AGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.40Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsGame ReportsSHARE TWITTERSHARE TELEGRAMALow riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-NGUYEN TUAN HUNGCEONGO XUAN TRUNGCTONGUYEN MANH TUANCo-founder & Lead EngineerHELPFUL?0 votesA LITTLE BITTOTALLYON-CHAIN PERFORMANCEThis project hasn\'t launched IDO--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply0%0%100%TOKENOMICInformation about tokenomics is often used by experienced traders. Click the button below to learn more!VIEW TOKENOMICCOMMUNITY PERFORMANCEBottom 80% market performance-Twitter-Total followers-Percentile-Telegram Group-Total Users-Percentile-Discord-Total Members-Percentile-ReviewsWhat do you think about this project?Game ReportsALow riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-NGUYEN TUAN HUNGCEONGO XUAN TRUNGCTONGUYEN MANH TUANCo-founder & Lead Engineer-%PoorYou can only rate this report on gamefi.orgON-CHAIN PERFORMANCEBottom 80% market performance--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply- %0%100%TOKENOMICTokenomic information is commonly used by experienced traders.YOU CAN ONLY VIEW TOKENOMIC INFORMATION ON GAMEFI.ORGCOMMUNITY PERFORMANCEBottom 80% market performance-DCommunity Size- %No Data- followers- members- membersDSocial Interactions-%No Data- interactions- interactions- interactionsDOES THE PROJECT HAVE GREAT POTENTIAL?- % people said “Yes”YOU CAN VOTE FOR THE GAME ONLY ON GAMEFI.ORGDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/faraland?tab=overview', 'title': 'GameFi.org - Faraland', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
5,"('page_content', 'GameFi.org - Faraland""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginFaralandFARAPrice:$0.033761.59%Loading... All GamesFaralandgovernance tokenFARA$0.033761.59%FaralandStudio:Moon Knight LabsReleased On:May 19, 2022Available On:sharefollowingPlay this gameNeed render on clientView MoreTurn-basedCasualNFTChain SupportedBNB ChainBacked by590 Ventures•AU 21 Capital•AVStar Capital•Basics Capital•Exnetwork Capital•14+Backed by14+AGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.40Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsIntroductionNeed render on clientTeam MembersNGUYEN TUAN HUNGCEOMore than 10 years in software engineering.\nCEO of Felizz.\nCTO of Merctrans - Leading localization and translation in Vietnam. \n5 years experience in dapp and blockchain.NGO XUAN TRUNGCTOSmart contract engineer.\nFrontend UI/UX expert with more than 10 years of experience.\nKyber Network Alumni.NGUYEN MANH TUANCo-founder & Lead EngineerFelizz co-founder.\nHave more than 7 years experience in fullstack development.\nKyber Network Alumni.NGUYEN HA VIET ANHCreative DirectorVingroup Lead designer.\nArtist Partner of Garena Singapore, Thailand.LUU THANH TUCOO10 years experience functional performance, security and blockchain QA in many fields.\nProject Manager for many big blockchain projects\nKyber Network Alumni.PHAN THANH TUNGCMO - CPOMulti Media Artist with 10 years of experience in creative product.\nFirst prize in “Chat Hanoi” Competion.\nVTV AutoDesk Flame Artist.ADVISORSTHI TRUONGCo-founder & CEO PolkaFoundry\nKyber Network Product ManagerJON RENPetRock Capital Co-Founder\nStrategic Advisor dVIX, Showcase\nLead marketer for Step Finance token saleSAURABH KHATTARTaboola Director Media Partnerships\nSAURABH KHATTAR\nHas supported leading brands like Redbull,\nPepsi, Ford, Paytm, Zynga GamesA-HAU NGUYENFounder Cryptovn590 Ventureteam profileTeam MembersNGUYEN TUAN HUNGCEOMore than 10 years in software engineering.\nCEO of Felizz.\nCTO of Merctrans - Leading localization and translation in Vietnam. \n5 years experience in dapp and blockchain.NGO XUAN TRUNGCTOSmart contract engineer.\nFrontend UI/UX expert with more than 10 years of experience.\nKyber Network Alumni.NGUYEN MANH TUANCo-founder & Lead EngineerFelizz co-founder.\nHave more than 7 years experience in fullstack development.\nKyber Network Alumni.NGUYEN HA VIET ANHCreative DirectorVingroup Lead designer.\nArtist Partner of Garena Singapore, Thailand.LUU THANH TUCOO10 years experience functional performance, security and blockchain QA in many fields.\nProject Manager for many big blockchain projects\nKyber Network Alumni.PHAN THANH TUNGCMO - CPOMulti Media Artist with 10 years of experience in creative product.\nFirst prize in “Chat Hanoi” Competion.\nVTV AutoDesk Flame Artist.ADVISORSTHI TRUONGCo-founder & CEO PolkaFoundry\nKyber Network Product ManagerJON RENPetRock Capital Co-Founder\nStrategic Advisor dVIX, Showcase\nLead marketer for Step Finance token saleSAURABH KHATTARTaboola Director Media Partnerships\nSAURABH KHATTAR\nHas supported leading brands like Redbull,\nPepsi, Ford, Paytm, Zynga GamesA-HAU NGUYENFounder Cryptovn590 VentureBackers590 VenturesAU 21 CapitalAVStar CapitalBasics CapitalExnetwork CapitalHG VenturesLotus CapitalMorningstar VenturesPetrock CapitalPNYX VenturesPolkaFoundrySpark Digital CapitalYoubi CapitalCoin98Icetea LabsMoonrock CapitalX21 digitalVendetta CapitalMagnus CapitalPLAY MODENeed render on clientROADMAPNeed render on clientHIGHLIGHT FEATURESNeed render on clientWHITE PAPERNeed render on clientPLAY-TO-EARN MODELNeed render on clientDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/faraland?tab=about', 'title': 'GameFi.org - Faraland', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
6,"('page_content', 'GameFi.org - Benji Bananas""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginBenji BananasPRIMATEPrice:$0.0066101%Loading... All GamesBenji Bananasgovernance tokenPRIMATE$0.0066101%Benji BananasStudio:Animoca BrandsReleased On:Nov 8, 2022Available On:sharefollowingPlay this gameNeed render on clientView MoreCasualNFTAdventureChain SupportedEthereum•BNB Chain•PolygonBacked byAnimoca Brands KKBacked byBGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.38Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsGame ReportsSHARE TWITTERSHARE TELEGRAMBAverage riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-Ninja 1Sorry, this person is off our radar’s scope!Ninja 2Sorry, this person is off our radar’s scope!Ninja 3Sorry, this person is off our radar’s scope!HELPFUL?0 votesA LITTLE BITTOTALLYON-CHAIN PERFORMANCEThis project hasn\'t launched IDO--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply0%0%100%TOKENOMICInformation about tokenomics is often used by experienced traders. Click the button below to learn more!VIEW TOKENOMICCOMMUNITY PERFORMANCEBottom 80% market performance-Twitter-Total followers-Percentile-Telegram Group-Total Users-Percentile-Discord-Total Members-Percentile-ReviewsWhat do you think about this project?Game ReportsBAverage riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-Ninja 1Sorry, this person is off our radar’s scope!Ninja 2Sorry, this person is off our radar’s scope!Ninja 3Sorry, this person is off our radar’s scope!-%PoorYou can only rate this report on gamefi.orgON-CHAIN PERFORMANCEBottom 80% market performance--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply- %0%100%TOKENOMICTokenomic information is commonly used by experienced traders.YOU CAN ONLY VIEW TOKENOMIC INFORMATION ON GAMEFI.ORGCOMMUNITY PERFORMANCEBottom 80% market performance-DCommunity Size- %No Data- followers- members- membersDSocial Interactions-%No Data- interactions- interactions- interactionsDOES THE PROJECT HAVE GREAT POTENTIAL?- % people said “Yes”YOU CAN VOTE FOR THE GAME ONLY ON GAMEFI.ORGDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/benji-bananas?tab=overview', 'title': 'GameFi.org - Benji Bananas', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
7,"('page_content', 'GameFi.org - Benji Bananas""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginBenji BananasPRIMATEPrice:$0.0066101%Loading... All GamesBenji Bananasgovernance tokenPRIMATE$0.0066101%Benji BananasStudio:Animoca BrandsReleased On:Nov 8, 2022Available On:sharefollowingPlay this gameNeed render on clientView MoreCasualNFTAdventureChain SupportedEthereum•BNB Chain•PolygonBacked byAnimoca Brands KKBacked byBGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.38Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsIntroductionNeed render on clientBackersAnimoca Brands KKPLAY MODENeed render on clientHIGHLIGHT FEATURESNeed render on clientPLAY-TO-EARN MODELNeed render on clientDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/benji-bananas?tab=about', 'title': 'GameFi.org - Benji Bananas', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
8,"('page_content', 'GameFi.org - Yuliverse""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginYuliverseARTLoading... All GamesYuliversegovernance tokenART--YuliverseStudio:YuliverseReleased On:Mar 14, 2023sharefollowingNeed render on clientView MoreSandboxCasualRole-playingChain SupportedBNB ChainBacked byAnimoca Brands KK•Lingfeng CapitalBacked byBGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.80Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsGame ReportsSHARE TWITTERSHARE TELEGRAMBAverage riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-Chris FungFounderNgoc Vinh (Klaus) NguyenModeratorHELPFUL?0 votesA LITTLE BITTOTALLYON-CHAIN PERFORMANCEThis project hasn\'t launched IDO--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply0%0%100%TOKENOMICInformation about tokenomics is often used by experienced traders. Click the button below to learn more!VIEW TOKENOMICCOMMUNITY PERFORMANCEBottom 80% market performance-Twitter-Total followers-Percentile-Telegram Group-Total Users-Percentile-Discord-Total Members-Percentile-ReviewsWhat do you think about this project?Game ReportsBAverage riskGreat Backers, Good team, Average On-chain Performance, Bad Community PerformanceBACKERSUnfamiliar backers-We couldn’t detect this data!This data is out of GameFi.org radar\'s reach(or maybe it doesn’t exist)TEAM PROFILERequire action to mitigate harm-Chris FungFounderNgoc Vinh (Klaus) NguyenModerator-%PoorYou can only rate this report on gamefi.orgON-CHAIN PERFORMANCEBottom 80% market performance--Volume 24h-0No Data-Market Cap-0No Data-Unique Active Wallets-0No Data-NFTs Transactions-0No DataTOKEN PRICEATH ROI--Circulating Supply- %0%100%TOKENOMICTokenomic information is commonly used by experienced traders.YOU CAN ONLY VIEW TOKENOMIC INFORMATION ON GAMEFI.ORGCOMMUNITY PERFORMANCEBottom 80% market performance-DCommunity Size- %No Data- followers- members- membersDSocial Interactions-%No Data- interactions- interactions- interactionsDOES THE PROJECT HAVE GREAT POTENTIAL?- % people said “Yes”YOU CAN VOTE FOR THE GAME ONLY ON GAMEFI.ORGDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/yuliverse?tab=overview', 'title': 'GameFi.org - Yuliverse', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
9,"('page_content', 'GameFi.org - Yuliverse""\n        />IDOINOGame HubRankingGamesStakingDMissionEarnOasys NaviBuy more GAFILoginYuliverseARTLoading... All GamesYuliversegovernance tokenART--YuliverseStudio:YuliverseReleased On:Mar 14, 2023sharefollowingNeed render on clientView MoreSandboxCasualRole-playingChain SupportedBNB ChainBacked byAnimoca Brands KK•Lingfeng CapitalBacked byBGameFi RankingBased on UAW, Social,\nTransactions, and Market cap.80Social ScoreBased on interaction\non social platforms. Rating Score0—0 RatingsIntroductionNeed render on clientBackersAnimoca Brands KKLingfeng CapitalPLAY MODENeed render on clientROADMAPNeed render on clientHIGHLIGHT FEATURESNeed render on clientWHITE PAPERNeed render on clientPLAY-TO-EARN MODELNeed render on clientDiscover the Future of Gaming with Game Hub.About UsOur Team Contact Us Press Kit Terms of Use Privacy Disclaimer Help Center Tokenomic GameGame Hub Ranking Game for you LaunchpadIDO INO Staking ServicesDMission NFT Insight Guilds EventsCatventure Year End Party Path Of Wisdom Race For Glory © Icetea Labs, 2021LoginIDOINOGame HubRankingGamesStakingDMissionEarnInsightNFTGuildsEarnBuy more GAFILoading...')","('metadata', {'source': 'https://gamefi.org/games/yuliverse?tab=about', 'title': 'GameFi.org - Yuliverse', 'description': 'An ultimate gaming destination for gamers, investors, and other game studios.', 'language': 'en'})","('type', 'Document')"
